abandon -2.67 -0.70 -0.83 -2.67 -0.70 -0.83
abuse -3.59 0.19 0.83 -3.59 0.19 0.83
accommodate 2.37 1.41 0.56 2.37 1.41 0.56
accuse -1.58 0.51 0.77 -1.58 0.51 0.77
address 1.32 1.14 0.22 1.32 1.14 0.22
admonish -0.45 0.78 0.75 -0.45 0.78 0.75
advise 2.12 1.66 0.63 2.12 1.66 0.63
agree_with 1.71 1.22 0.61 1.71 1.22 0.61
aid 2.65 2.38 0.61 2.65 2.38 0.61
amuse 1.98 1.50 1.46 1.98 1.50 1.46
analyze 0.82 0.70 0.17 0.82 0.70 0.17
answer 1.65 1.01 0.52 1.65 1.01 0.52
apologize_to 2.08 1.54 -0.64 2.08 1.54 -0.64
appeal_to 1.52 1.55 0.66 1.52 1.55 0.66
applaud 2.37 1.97 2.07 2.37 1.97 2.07
apprehend 0.54 1.48 1.32 0.54 1.48 1.32
approach 1.77 1.44 0.90 1.77 1.44 0.90
argue_with -1.01 0.81 1.71 -1.01 0.81 1.71
arrest -0.08 1.69 1.42 -0.08 1.69 1.42
ask_about_something 1.42 0.80 0.16 1.42 0.80 0.16
ask_out 2.00 1.64 0.81 2.00 1.64 0.81
assail -1.46 0.96 0.94 -1.46 0.96 0.94
assault -2.81 1.04 1.81 -2.81 1.04 1.81
assist 2.42 1.78 0.56 2.42 1.78 0.56
attack -2.80 0.24 1.40 -2.80 0.24 1.40
attend_to 2.28 1.85 0.86 2.28 1.85 0.86
babble_to -0.88 -0.61 1.30 -0.88 -0.61 1.30
baby -0.67 -0.50 -0.94 -0.67 -0.50 -0.94
back 2.25 1.96 1.41 2.25 1.96 1.41
badger -1.93 0.35 1.16 -1.93 0.35 1.16
banter_with 0.19 0.36 1.39 0.19 0.36 1.39
baptize 2.15 1.85 -0.03 2.15 1.85 -0.03
bargain_with 0.99 1.42 1.21 0.99 1.42 1.21
barter_with 0.87 0.90 0.97 0.87 0.90 0.97
bash -2.00 0.29 0.99 -2.00 0.29 0.99
bathe 1.21 0.61 -0.52 1.21 0.61 -0.52
bawl-out -1.58 0.41 0.70 -1.58 0.41 0.70
be_intimate_with 2.44 2.09 0.84 2.44 2.09 0.84
be_sarcastic_toward -0.29 0.42 1.19 -0.29 0.42 1.19
beam_at 1.27 0.97 0.47 1.27 0.97 0.47
beat_up -2.54 0.91 1.99 -2.54 0.91 1.99
beckon_to 0.41 0.05 0.58 0.41 0.05 0.58
bed 1.40 1.17 0.47 1.40 1.17 0.47
beg -1.42 -1.85 -0.58 -1.42 -1.85 -0.58
belittle -2.08 -0.11 0.45 -2.08 -0.11 0.45
bellow_at -0.97 0.57 1.04 -0.97 0.57 1.04
berate -1.79 0.15 0.65 -1.79 0.15 0.65
beseech -0.35 0.04 0.49 -0.35 0.04 0.49
bicker_with -1.49 -0.06 1.20 -1.49 -0.06 1.20
bill -0.74 1.10 -0.55 -0.74 1.10 -0.55
bind -1.40 0.82 0.08 -1.40 0.82 0.08
bite -2.27 0.32 0.78 -2.27 0.32 0.78
blabber_to -0.95 -0.32 1.40 -0.95 -0.32 1.40
blame -1.76 -0.17 0.31 -1.76 -0.17 0.31
bless 2.50 1.87 -0.40 2.50 1.87 -0.40
bootlick -1.08 -0.88 -0.35 -1.08 -0.88 -0.35
booze_with 0.92 0.58 1.77 0.92 0.58 1.77
borrow_money_from -0.67 -0.72 -0.42 -0.67 -0.72 -0.42
boss_around -1.60 1.24 1.12 -1.60 1.24 1.12
bow_to 0.70 -0.11 -1.09 0.70 -0.11 -1.09
brawl_with -1.48 0.43 1.86 -1.48 0.43 1.86
bribe -1.69 0.24 0.30 -1.69 0.24 0.30
brief 0.70 0.84 0.19 0.70 0.84 0.19
browbeat -1.48 0.39 0.14 -1.48 0.39 0.14
brown-nose -1.20 -0.34 0.22 -1.20 -0.34 0.22
brutalize -3.27 0.61 1.54 -3.27 0.61 1.54
bully -2.40 0.42 0.93 -2.40 0.42 0.93
cajole 0.15 0.57 0.81 0.15 0.57 0.81
capture -1.58 1.46 1.38 -1.58 1.46 1.38
care_for 3.18 2.17 0.05 3.18 2.17 0.05
caress 2.37 1.70 -0.89 2.37 1.70 -0.89
catch 0.98 1.36 1.73 0.98 1.36 1.73
caution 1.77 1.32 0.61 1.77 1.32 0.61
challenge 1.12 1.69 1.75 1.12 1.69 1.75
