abortionist -1.13 0.93 -0.26 -1.13 0.93 -0.26
adolescent 0.64 -0.45 1.64 0.64 -0.45 1.64
adult 1.36 1.90 0.33 1.36 1.90 0.33
adulterer -2.35 -0.44 -0.26 -2.35 -0.44 -0.26
adulteress -2.28 -0.77 -0.04 -2.28 -0.77 -0.04
advisor 1.62 1.30 0.32 1.62 1.30 0.32
Afro-American 1.61 0.70 0.94 1.61 0.70 0.94
agnostic -0.01 -0.11 -0.01 -0.01 -0.11 -0.01
aide 1.84 0.75 0.53 1.84 0.75 0.53
Air_Force_enlistee 1.46 1.11 0.87 1.46 1.11 0.87
Air_Force_officer 1.60 1.95 1.65 1.60 1.95 1.65
Air_Force_reservist 1.68 1.34 1.14 1.68 1.34 1.14
alcoholic -2.25 -1.73 0.13 -2.25 -1.73 0.13
alumnus 1.40 1.16 0.19 1.40 1.16 0.19
anti-Semite -2.14 -0.57 0.79 -2.14 -0.57 0.79
applicant 1.04 -0.53 -0.06 1.04 -0.53 -0.06
apprentice 1.17 -0.23 0.24 1.17 -0.23 0.24
Army_enlistee 1.43 1.08 1.18 1.43 1.08 1.18
Army_officer 1.21 2.40 1.62 1.21 2.40 1.62
Army_reservist 1.91 1.99 1.42 1.91 1.99 1.42
Asian-American 1.05 -0.05 0.08 1.05 -0.05 0.08
assistant 1.64 0.34 0.59 1.64 0.34 0.59
atheist -0.85 -0.49 -0.39 -0.85 -0.49 -0.39
athlete 2.15 2.19 2.42 2.15 2.19 2.42
attorney 0.48 2.03 1.43 0.48 2.03 1.43
aunt 1.92 0.78 0.49 1.92 0.78 0.49
authority 0.74 2.10 1.00 0.74 2.10 1.00
baby_sitter 1.57 1.11 0.53 1.57 1.11 0.53
baby 2.10 -1.16 0.94 2.10 -1.16 0.94
bachelor 1.09 1.11 1.87 1.09 1.11 1.87
baldy -0.36 -0.09 -0.72 -0.36 -0.09 -0.72
battered_woman -2.02 -2.11 -1.76 -2.02 -2.11 -1.76
beginner 0.83 -1.01 -0.63 0.83 -1.01 -0.63
best_friend 3.45 2.46 2.00 3.45 2.46 2.00
best_man 2.26 1.54 1.58 2.26 1.54 1.58
big_brother 1.75 1.84 1.37 1.75 1.84 1.37
